name,email,phone,address,city,country,tax_id,contact_person,total_purchased,purchase_order_count,rating,status,notes
Supplier_0001,supplier0001@example.com,0700000001,SupplierAddr_0001_HaNoi,HaNoi,Vietnam,TAX000000001,Contact_0001,774324583.00,293,excellent,active,demo_data
Supplier_0002,supplier0002@example.com,0700000002,SupplierAddr_0002_HoChiMinh,HoChiMinh,Vietnam,TAX000000002,Contact_0002,2133258440.00,266,good,inactive,demo_data
Supplier_0003,supplier0003@example.com,0700000003,SupplierAddr_0003_DaNang,DaNang,Vietnam,TAX000000003,Contact_0003,411053308.00,151,average,blocked,demo_data
Supplier_0004,supplier0004@example.com,0700000004,SupplierAddr_0004_HaiPhong,HaiPhong,Vietnam,TAX000000004,Contact_0004,1059563063.00,301,poor,active,demo_data
Supplier_0005,supplier0005@example.com,0700000005,SupplierAddr_0005_CanTho,CanTho,Vietnam,TAX000000005,Contact_0005,871100710.00,69,excellent,inactive,demo_data
Supplier_0006,supplier0006@example.com,0700000006,SupplierAddr_0006_Hue,Hue,Vietnam,TAX000000006,Contact_0006,923636312.00,259,good,blocked,demo_data
Supplier_0007,supplier0007@example.com,0700000007,SupplierAddr_0007_NhaTrang,NhaTrang,Vietnam,TAX000000007,Contact_0007,1048379417.00,309,average,active,demo_data
Supplier_0008,supplier0008@example.com,0700000008,SupplierAddr_0008_VungTau,VungTau,Vietnam,TAX000000008,Contact_0008,799206608.00,234,poor,inactive,demo_data
Supplier_0009,supplier0009@example.com,0700000009,SupplierAddr_0009_BinhDuong,BinhDuong,Vietnam,TAX000000009,Contact_0009,2206153740.00,354,excellent,blocked,demo_data
Supplier_0010,supplier0010@example.com,0700000010,SupplierAddr_0010_BacNinh,BacNinh,Vietnam,TAX000000010,Contact_0010,1961994530.00,367,good,active,demo_data
Supplier_0011,supplier0011@example.com,0700000011,SupplierAddr_0011_HaNoi,HaNoi,Vietnam,TAX000000011,Contact_0011,1308872202.00,336,average,inactive,demo_data
Supplier_0012,supplier0012@example.com,0700000012,SupplierAddr_0012_HoChiMinh,HoChiMinh,Vietnam,TAX000000012,Contact_0012,805389075.00,353,poor,blocked,demo_data
Supplier_0013,supplier0013@example.com,0700000013,SupplierAddr_0013_DaNang,DaNang,Vietnam,TAX000000013,Contact_0013,364597450.00,156,excellent,active,demo_data
Supplier_0014,supplier0014@example.com,0700000014,SupplierAddr_0014_HaiPhong,HaiPhong,Vietnam,TAX000000014,Contact_0014,2075108988.00,82,good,inactive,demo_data
Supplier_0015,supplier0015@example.com,0700000015,SupplierAddr_0015_CanTho,CanTho,Vietnam,TAX000000015,Contact_0015,772674241.00,110,average,blocked,demo_data
Supplier_0016,supplier0016@example.com,0700000016,SupplierAddr_0016_Hue,Hue,Vietnam,TAX000000016,Contact_0016,1061688418.00,389,poor,active,demo_data
