transaction_date,customer_name,transaction_type,revenue,cost,product,order_status,department,profit,forecasted_revenue
2023-04-06,Customer_0001,Sale,1627775726.00,1009220950.12,Product_0001,Completed,Sales,618554775.88,1546386939.70
2023-04-07,Customer_0002,Sale,1324280189.00,741596905.84,Product_0002,Processing,Marketing,582683283.16,1311037387.11
2023-04-08,Customer_0003,Sale,2125559606.00,1679192088.74,Product_0003,Shipped,Operations,446367517.26,2040537221.76
2023-04-09,Customer_0004,Sale,140224365.00,107972761.05,Product_0004,Delivered,Finance,32251603.95,145833339.60
2023-04-10,Customer_0005,Sale,1266752007.00,1203414406.65,Product_0005,Cancelled,IT,63337600.35,1292087047.14
2023-04-11,Customer_0006,Return,1563465475.00,2695910927.00,Product_0006,Returned,HR,-1132445452.00,0.00
2023-04-12,Customer_0007,Sale,1242031159.00,1080567108.33,Product_0007,Completed,Support,161464050.67,1217190535.82
2023-04-13,Customer_0008,Sale,873636174.00,594072598.32,Product_0008,Processing,Sales,279563575.68,917317982.70
2023-04-14,Customer_0009,Sale,1754104761.00,1543612189.68,Product_0009,Shipped,Marketing,210492571.32,1859351046.66
2023-04-15,Customer_0010,Sale,466389458.00,275169780.22,Product_0010,Delivered,Operations,191219677.78,503700614.64
2023-04-16,Customer_0011,Sale,288862343.00,274419225.85,Product_0011,Cancelled,Finance,14443117.15,294639589.86
2023-04-17,Customer_0012,Return,23369891.00,1138506196.00,Product_0012,Returned,IT,-1115136305.00,0.00
2023-04-18,Customer_0013,Sale,809379011.00,663690789.02,Product_0013,Completed,HR,145688221.98,809379011.00
2023-04-19,Customer_0014,Sale,925980255.00,731524401.45,Product_0014,Processing,Support,194455853.55,972279267.75
2023-04-20,Customer_0015,Sale,1610476098.00,1079018985.66,Product_0015,Shipped,Sales,531457112.34,1674895141.92
2023-04-21,Customer_0016,Sale,2137929507.00,1517929949.97,Product_0016,Delivered,Marketing,619999557.03,2095170916.86
2023-04-22,Customer_0017,Sale,761830193.00,723738683.35,Product_0017,Cancelled,Operations,38091509.65,777066796.86
2023-04-23,Customer_0018,Return,404915722.00,2145340758.00,Product_0018,Returned,Finance,-1740425036.00,0.00
2023-04-24,Customer_0019,Sale,1434633754.00,1205092353.36,Product_0019,Completed,IT,229541400.64,1492019104.16
2023-04-25,Customer_0020,Sale,2075109296.00,1182812298.72,Product_0020,Processing,HR,892296997.28,2116611481.92
2023-04-26,Customer_0021,Sale,321876416.00,186688321.28,Product_0021,Shipped,Support,135188094.72,309001359.36
2023-04-27,Customer_0022,Sale,545972536.00,404019676.64,Product_0022,Delivered,Sales,141952859.36,573271162.80
2023-04-28,Customer_0023,Sale,1720181427.00,1634172355.65,Product_0023,Cancelled,Marketing,86009071.35,1754585055.54
2023-04-29,Customer_0024,Return,1587749381.00,2234930293.00,Product_0024,Returned,Operations,-647180912.00,0.00
2023-04-30,Customer_0025,Sale,676041769.00,567875085.96,Product_0025,Completed,Finance,108166683.04,703083439.76
2023-05-01,Customer_0026,Sale,560240257.00,448192205.60,Product_0026,Processing,IT,112048051.40,543433049.29
2023-05-02,Customer_0027,Sale,1006938579.00,785412091.62,Product_0027,Shipped,HR,221526487.38,1017007964.79
2023-05-03,Customer_0028,Sale,1924592790.00,1424198664.60,Product_0028,Delivered,Support,500394125.40,2078560213.20
2023-05-04,Customer_0029,Sale,82303929.00,78188732.55,Product_0029,Cancelled,Sales,4115196.45,83950007.58
2023-05-05,Customer_0030,Return,2034831365.00,3788610321.00,Product_0030,Returned,Marketing,-1753778956.00,0.00
2023-05-06,Customer_0031,Sale,1281934675.00,820438192.00,Product_0031,Completed,Operations,461496483.00,1371670102.25
2023-05-07,Customer_0032,Sale,871596033.00,767004509.04,Product_0032,Processing,Finance,104591523.96,889027953.66
2023-05-08,Customer_0033,Sale,1832676692.00,1521121654.36,Product_0033,Shipped,IT,311555037.64,1777696391.24
2023-05-09,Customer_0034,Sale,811854379.00,706313309.73,Product_0034,Delivered,HR,105541069.27,836210010.37
2023-05-10,Customer_0035,Sale,1159403124.00,1101432967.80,Product_0035,Cancelled,Support,57970156.20,1182591186.48
2023-05-11,Customer_0036,Return,1714752825.00,2857155579.00,Product_0036,Returned,Sales,-1142402754.00,0.00
2023-05-12,Customer_0037,Sale,394904524.00,264586031.08,Product_0037,Completed,Marketing,130318492.92,422547840.68
2023-05-13,Customer_0038,Sale,592776097.00,379376702.08,Product_0038,Processing,Operations,213399394.92,598703857.97
2023-05-14,Customer_0039,Sale,1081649437.00,638173167.83,Product_0039,Shipped,Finance,443476269.17,1049199953.89
2023-05-15,Customer_0040,Sale,1316319062.00,881933771.54,Product_0040,Delivered,IT,434385290.46,1421624586.96
2023-05-16,Customer_0041,Sale,1877888215.00,1783993804.25,Product_0041,Cancelled,HR,93894410.75,1915445979.30
2023-05-17,Customer_0042,Return,320653078.00,1663315558.00,Product_0042,Returned,Support,-1342662480.00,0.00
2023-05-18,Customer_0043,Sale,150851531.00,107104587.01,Product_0043,Completed,Sales,43746943.99,143308954.45
2023-05-19,Customer_0044,Sale,1720734697.00,1359380410.63,Product_0044,Processing,Marketing,361354286.37,1858393472.76
2023-05-20,Customer_0045,Sale,20513741.00,17436679.85,Product_0045,Shipped,Operations,3077061.15,20924015.82
