warehouse_code,name,location,city,country,manager,phone,email,capacity,current_stock,type,status,notes
WH-0001,Warehouse_0001,Loc_WH-0001_HaNoi,HaNoi,Vietnam,Manager_0001,0600000001,warehouse0001@example.com,18586,9142,main,active,demo_data
WH-0002,Warehouse_0002,Loc_WH-0002_HoChiMinh,HoChiMinh,Vietnam,Manager_0002,0600000002,warehouse0002@example.com,1727,589,regional,inactive,demo_data
WH-0003,Warehouse_0003,Loc_WH-0003_DaNang,DaNang,Vietnam,Manager_0003,0600000003,warehouse0003@example.com,1139,191,distribution,maintenance,demo_data
WH-0004,Warehouse_0004,Loc_WH-0004_HaiPhong,HaiPhong,Vietnam,Manager_0004,0600000004,warehouse0004@example.com,9040,1169,retail,active,demo_data
WH-0005,Warehouse_0005,Loc_WH-0005_CanTho,CanTho,Vietnam,Manager_0005,0600000005,warehouse0005@example.com,16002,12913,main,inactive,demo_data
WH-0006,Warehouse_0006,Loc_WH-0006_Hue,Hue,Vietnam,Manager_0006,0600000006,warehouse0006@example.com,8062,3689,regional,maintenance,demo_data
WH-0007,Warehouse_0007,Loc_WH-0007_NhaTrang,NhaTrang,Vietnam,Manager_0007,0600000007,warehouse0007@example.com,3951,903,distribution,active,demo_data
WH-0008,Warehouse_0008,Loc_WH-0008_VungTau,VungTau,Vietnam,Manager_0008,0600000008,warehouse0008@example.com,18997,6677,retail,inactive,demo_data
WH-0009,Warehouse_0009,Loc_WH-0009_BinhDuong,BinhDuong,Vietnam,Manager_0009,0600000009,warehouse0009@example.com,16524,15861,main,maintenance,demo_data
WH-0010,Warehouse_0010,Loc_WH-0010_BacNinh,BacNinh,Vietnam,Manager_0010,0600000010,warehouse0010@example.com,1836,1451,regional,active,demo_data
WH-0011,Warehouse_0011,Loc_WH-0011_HaNoi,HaNoi,Vietnam,Manager_0011,0600000011,warehouse0011@example.com,11400,2464,distribution,inactive,demo_data
WH-0012,Warehouse_0012,Loc_WH-0012_HoChiMinh,HoChiMinh,Vietnam,Manager_0012,0600000012,warehouse0012@example.com,7113,144,retail,maintenance,demo_data
WH-0013,Warehouse_0013,Loc_WH-0013_DaNang,DaNang,Vietnam,Manager_0013,0600000013,warehouse0013@example.com,16948,11999,main,active,demo_data
WH-0014,Warehouse_0014,Loc_WH-0014_HaiPhong,HaiPhong,Vietnam,Manager_0014,0600000014,warehouse0014@example.com,4379,1430,regional,inactive,demo_data
WH-0015,Warehouse_0015,Loc_WH-0015_CanTho,CanTho,Vietnam,Manager_0015,0600000015,warehouse0015@example.com,18887,9666,distribution,maintenance,demo_data
WH-0016,Warehouse_0016,Loc_WH-0016_Hue,Hue,Vietnam,Manager_0016,0600000016,warehouse0016@example.com,18444,11103,retail,active,demo_data
WH-0017,Warehouse_0017,Loc_WH-0017_NhaTrang,NhaTrang,Vietnam,Manager_0017,0600000017,warehouse0017@example.com,13018,3044,main,inactive,demo_data
WH-0018,Warehouse_0018,Loc_WH-0018_VungTau,VungTau,Vietnam,Manager_0018,0600000018,warehouse0018@example.com,19492,14564,regional,maintenance,demo_data
WH-0019,Warehouse_0019,Loc_WH-0019_BinhDuong,BinhDuong,Vietnam,Manager_0019,0600000019,warehouse0019@example.com,15917,4703,distribution,active,demo_data
WH-0020,Warehouse_0020,Loc_WH-0020_BacNinh,BacNinh,Vietnam,Manager_0020,0600000020,warehouse0020@example.com,15291,12715,retail,inactive,demo_data
WH-0021,Warehouse_0021,Loc_WH-0021_HaNoi,HaNoi,Vietnam,Manager_0021,0600000021,warehouse0021@example.com,8711,3831,main,maintenance,demo_data
WH-0022,Warehouse_0022,Loc_WH-0022_HoChiMinh,HoChiMinh,Vietnam,Manager_0022,0600000022,warehouse0022@example.com,19506,10095,regional,active,demo_data
WH-0023,Warehouse_0023,Loc_WH-0023_DaNang,DaNang,Vietnam,Manager_0023,0600000023,warehouse0023@example.com,6768,802,distribution,inactive,demo_data
WH-0024,Warehouse_0024,Loc_WH-0024_HaiPhong,HaiPhong,Vietnam,Manager_0024,0600000024,warehouse0024@example.com,6116,537,retail,maintenance,demo_data
WH-0025,Warehouse_0025,Loc_WH-0025_CanTho,CanTho,Vietnam,Manager_0025,0600000025,warehouse0025@example.com,13962,8758,main,active,demo_data
WH-0026,Warehouse_0026,Loc_WH-0026_Hue,Hue,Vietnam,Manager_0026,0600000026,warehouse0026@example.com,2146,1837,regional,inactive,demo_data
WH-0027,Warehouse_0027,Loc_WH-0027_NhaTrang,NhaTrang,Vietnam,Manager_0027,0600000027,warehouse0027@example.com,17934,16522,distribution,maintenance,demo_data
WH-0028,Warehouse_0028,Loc_WH-0028_VungTau,VungTau,Vietnam,Manager_0028,0600000028,warehouse0028@example.com,2750,162,retail,active,demo_data
WH-0029,Warehouse_0029,Loc_WH-0029_BinhDuong,BinhDuong,Vietnam,Manager_0029,0600000029,warehouse0029@example.com,11961,242,main,inactive,demo_data
WH-0030,Warehouse_0030,Loc_WH-0030_BacNinh,BacNinh,Vietnam,Manager_0030,0600000030,warehouse0030@example.com,1066,213,regional,maintenance,demo_data
WH-0031,Warehouse_0031,Loc_WH-0031_HaNoi,HaNoi,Vietnam,Manager_0031,0600000031,warehouse0031@example.com,12943,12237,distribution,active,demo_data
WH-0032,Warehouse_0032,Loc_WH-0032_HoChiMinh,HoChiMinh,Vietnam,Manager_0032,0600000032,warehouse0032@example.com,12895,7221,retail,inactive,demo_data
WH-0033,Warehouse_0033,Loc_WH-0033_DaNang,DaNang,Vietnam,Manager_0033,0600000033,warehouse0033@example.com,6624,790,main,maintenance,demo_data
WH-0034,Warehouse_0034,Loc_WH-0034_HaiPhong,HaiPhong,Vietnam,Manager_0034,0600000034,warehouse0034@example.com,8242,5609,regional,active,demo_data
WH-0035,Warehouse_0035,Loc_WH-0035_CanTho,CanTho,Vietnam,Manager_0035,0600000035,warehouse0035@example.com,7986,680,distribution,inactive,demo_data
WH-0036,Warehouse_0036,Loc_WH-0036_Hue,Hue,Vietnam,Manager_0036,0600000036,warehouse0036@example.com,10244,7871,retail,maintenance,demo_data
WH-0037,Warehouse_0037,Loc_WH-0037_NhaTrang,NhaTrang,Vietnam,Manager_0037,0600000037,warehouse0037@example.com,3105,666,main,active,demo_data
